,00h,,01h,,02h,,03h,,04h,,05h,,06h,,07h,,08h,,09h,,10h,,11h,,12h,,13h,,14h,,15h,,16h,,17h,,18h,,19h,,20h,,21h,,22h,,23h,
MIN,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s,m,s
00m,00m,00s,00m,10s,00m,20s,00m,30s,00m,39s,00m,49s,00m,59s,01m,09s,01m,19s,01m,29s,01m,39s,01m,48s,01m,58s,02m,08s,02m,18s,02m,28s,02m,38s,02m,48s,02m,57s,03m,07s,03m,17s,03m,27s,03m,37s,03m,47s
01m,00m,00s,00m,10s,00m,20s,00m,30s,00m,40s,00m,49s,00m,59s,01m,09s,01m,19s,01m,29s,01m,39s,01m,49s,01m,58s,02m,08s,02m,18s,02m,28s,02m,38s,02m,48s,02m,58s,03m,07s,03m,17s,03m,27s,03m,37s,03m,47s
02m,00m,00s,00m,10s,00m,20s,00m,30s,00m,40s,00m,50s,00m,59s,01m,09s,01m,19s,01m,29s,01m,39s,01m,49s,01m,59s,02m,08s,02m,18s,02m,28s,02m,38s,02m,48s,02m,58s,03m,08s,03m,17s,03m,27s,03m,37s,03m,47s
03m,00m,00s,00m,10s,00m,20s,00m,30s,00m,40s,00m,50s,01m,00s,01m,09s,01m,19s,01m,29s,01m,39s,01m,49s,01m,59s,02m,09s,02m,18s,02m,28s,02m,38s,02m,48s,02m,58s,03m,08s,03m,18s,03m,27s,03m,37s,03m,47s
04m,00m,01s,00m,11s,00m,20s,00m,30s,00m,40s,00m,50s,01m,00s,01m,10s,01m,20s,01m,29s,01m,39s,01m,49s,01m,59s,02m,09s,02m,19s,02m,29s,02m,38s,02m,48s,02m,58s,03m,08s,03m,18s,03m,28s,03m,37s,03m,47s
05m,00m,01s,00m,11s,00m,21s,00m,30s,00m,40s,00m,50s,01m,00s,01m,10s,01m,20s,01m,30s,01m,39s,01m,49s,01m,59s,02m,09s,02m,19s,02m,29s,02m,39s,02m,48s,02m,58s,03m,08s,03m,18s,03m,28s,03m,38s,03m,48s
06m,00m,01s,00m,11s,00m,21s,00m,31s,00m,40s,00m,50s,01m,00s,01m,10s,01m,20s,01m,30s,01m,40s,01m,49s,01m,59s,02m,09s,02m,19s,02m,29s,02m,39s,02m,49s,02m,58s,03m,08s,03m,18s,03m,28s,03m,38s,03m,48s
07m,00m,01s,00m,11s,00m,21s,00m,31s,00m,41s,00m,50s,01m,00s,01m,10s,01m,20s,01m,30s,01m,40s,01m,50s,01m,59s,02m,09s,02m,19s,02m,29s,02m,39s,02m,49s,02m,59s,03m,08s,03m,18s,03m,28s,03m,38s,03m,48s
08m,00m,01s,00m,11s,00m,21s,00m,31s,00m,41s,00m,51s,01m,00s,01m,10s,01m,20s,01m,30s,01m,40s,01m,50s,02m,00s,02m,09s,02m,19s,02m,29s,02m,39s,02m,49s,02m,59s,03m,09s,03m,18s,03m,28s,03m,38s,03m,48s
09m,00m,01s,00m,11s,00m,21s,00m,31s,00m,41s,00m,51s,01m,01s,01m,10s,01m,20s,01m,30s,01m,40s,01m,50s,02m,00s,02m,10s,02m,19s,02m,29s,02m,39s,02m,49s,02m,59s,03m,09s,03m,19s,03m,28s,03m,38s,03m,48s
10m,00m,02s,00m,11s,00m,21s,00m,31s,00m,41s,00m,51s,01m,01s,01m,11s,01m,20s,01m,30s,01m,40s,01m,50s,02m,00s,02m,10s,02m,20s,02m,29s,02m,39s,02m,49s,02m,59s,03m,09s,03m,19s,03m,29s,03m,38s,03m,48s
11m,00m,02s,00m,12s,00m,22s,00m,31s,00m,41s,00m,51s,01m,01s,01m,11s,01m,21s,01m,31s,01m,40s,01m,50s,02m,00s,02m,10s,02m,20s,02m,30s,02m,40s,02m,49s,02m,59s,03m,09s,03m,19s,03m,29s,03m,39s,03m,49s
12m,00m,02s,00m,12s,00m,22s,00m,32s,00m,41s,00m,51s,01m,01s,01m,11s,01m,21s,01m,31s,01m,41s,01m,50s,02m,00s,02m,10s,02m,20s,02m,30s,02m,40s,02m,50s,02m,59s,03m,09s,03m,19s,03m,29s,03m,39s,03m,49s
13m,00m,02s,00m,12s,00m,22s,00m,32s,00m,42s,00m,51s,01m,01s,01m,11s,01m,21s,01m,31s,01m,41s,01m,51s,02m,00s,02m,10s,02m,20s,02m,30s,02m,40s,02m,50s,03m,00s,03m,09s,03m,19s,03m,29s,03m,39s,03m,49s
14m,00m,02s,00m,12s,00m,22s,00m,32s,00m,42s,00m,52s,01m,01s,01m,11s,01m,21s,01m,31s,01m,41s,01m,51s,02m,01s,02m,10s,02m,20s,02m,30s,02m,40s,02m,50s,03m,00s,03m,10s,03m,19s,03m,29s,03m,39s,03m,49s
15m,00m,02s,00m,12s,00m,22s,00m,32s,00m,42s,00m,52s,01m,02s,01m,11s,01m,21s,01m,31s,01m,41s,01m,51s,02m,01s,02m,11s,02m,20s,02m,30s,02m,40s,02m,50s,03m,00s,03m,10s,03m,20s,03m,29s,03m,39s,03m,49s
16m,00m,03s,00m,12s,00m,22s,00m,32s,00m,42s,00m,52s,01m,02s,01m,12s,01m,21s,01m,31s,01m,41s,01m,51s,02m,01s,02m,11s,02m,21s,02m,30s,02m,40s,02m,50s,03m,00s,03m,10s,03m,20s,03m,30s,03m,39s,03m,49s
17m,00m,03s,00m,13s,00m,23s,00m,32s,00m,42s,00m,52s,01m,02s,01m,12s,01m,22s,01m,32s,01m,41s,01m,51s,02m,01s,02m,11s,02m,21s,02m,31s,02m,40s,02m,50s,03m,00s,03m,10s,03m,20s,03m,30s,03m,40s,03m,49s
18m,00m,03s,00m,13s,00m,23s,00m,33s,00m,42s,00m,52s,01m,02s,01m,12s,01m,22s,01m,32s,01m,42s,01m,51s,02m,01s,02m,11s,02m,21s,02m,31s,02m,41s,02m,51s,03m,00s,03m,10s,03m,20s,03m,30s,03m,40s,03m,50s
19m,00m,03s,00m,13s,00m,23s,00m,33s,00m,43s,00m,52s,01m,02s,01m,12s,01m,22s,01m,32s,01m,42s,01m,52s,02m,01s,02m,11s,02m,21s,02m,31s,02m,41s,02m,51s,03m,01s,03m,10s,03m,20s,03m,30s,03m,40s,03m,50s
20m,00m,03s,00m,13s,00m,23s,00m,33s,00m,43s,00m,53s,01m,02s,01m,12s,01m,22s,01m,32s,01m,42s,01m,52s,02m,02s,02m,11s,02m,21s,02m,31s,02m,41s,02m,51s,03m,01s,03m,11s,03m,20s,03m,30s,03m,40s,03m,50s
21m,00m,03s,00m,13s,00m,23s,00m,33s,00m,43s,00m,53s,01m,03s,01m,12s,01m,22s,01m,32s,01m,42s,01m,52s,02m,02s,02m,12s,02m,21s,02m,31s,02m,41s,02m,51s,03m,01s,03m,11s,03m,21s,03m,30s,03m,40s,03m,50s
22m,00m,04s,00m,13s,00m,23s,00m,33s,00m,43s,00m,53s,01m,03s,01m,13s,01m,22s,01m,32s,01m,42s,01m,52s,02m,02s,02m,12s,02m,22s,02m,31s,02m,41s,02m,51s,03m,01s,03m,11s,03m,21s,03m,31s,03m,40s,03m,50s
23m,00m,04s,00m,14s,00m,23s,00m,33s,00m,43s,00m,53s,01m,03s,01m,13s,01m,23s,01m,32s,01m,42s,01m,52s,02m,02s,02m,12s,02m,22s,02m,32s,02m,41s,02m,51s,03m,01s,03m,11s,03m,21s,03m,31s,03m,41s,03m,50s
24m,00m,04s,00m,14s,00m,24s,00m,34s,00m,43s,00m,53s,01m,03s,01m,13s,01m,23s,01m,33s,01m,43s,01m,52s,02m,02s,02m,12s,02m,22s,02m,32s,02m,42s,02m,52s,03m,01s,03m,11s,03m,21s,03m,31s,03m,41s,03m,51s
25m,00m,04s,00m,14s,00m,24s,00m,34s,00m,44s,00m,53s,01m,03s,01m,13s,01m,23s,01m,33s,01m,43s,01m,53s,02m,02s,02m,12s,02m,22s,02m,32s,02m,42s,02m,52s,03m,02s,03m,11s,03m,21s,03m,31s,03m,41s,03m,51s
26m,00m,04s,00m,14s,00m,24s,00m,34s,00m,44s,00m,54s,01m,03s,01m,13s,01m,23s,01m,33s,01m,43s,01m,53s,02m,03s,02m,12s,02m,22s,02m,32s,02m,42s,02m,52s,03m,02s,03m,12s,03m,21s,03m,31s,03m,41s,03m,51s
27m,00m,04s,00m,14s,00m,24s,00m,34s,00m,44s,00m,54s,01m,04s,01m,13s,01m,23s,01m,33s,01m,43s,01m,53s,02m,03s,02m,13s,02m,22s,02m,32s,02m,42s,02m,52s,03m,02s,03m,12s,03m,22s,03m,31s,03m,41s,03m,51s
28m,00m,05s,00m,14s,00m,24s,00m,34s,00m,44s,00m,54s,01m,04s,01m,14s,01m,23s,01m,33s,01m,43s,01m,53s,02m,03s,02m,13s,02m,23s,02m,32s,02m,42s,02m,52s,03m,02s,03m,12s,03m,22s,03m,32s,03m,41s,03m,51s
29m,00m,05s,00m,15s,00m,24s,00m,34s,00m,44s,00m,54s,01m,04s,01m,14s,01m,24s,01m,33s,01m,43s,01m,53s,02m,03s,02m,13s,02m,23s,02m,33s,02m,42s,02m,52s,03m,02s,03m,12s,03m,22s,03m,32s,03m,42s,03m,51s
30m,00m,05s,00m,15s,00m,25s,00m,34s,00m,44s,00m,54s,01m,04s,01m,14s,01m,24s,01m,34s,01m,43s,01m,53s,02m,03s,02m,13s,02m,23s,02m,33s,02m,43s,02m,52s,03m,02s,03m,12s,03m,22s,03m,32s,03m,42s,03m,52s
31m,00m,05s,00m,15s,00m,25s,00m,35s,00m,45s,00m,54s,01m,04s,01m,14s,01m,24s,01m,34s,01m,44s,01m,54s,02m,03s,02m,13s,02m,23s,02m,33s,02m,43s,02m,53s,03m,03s,03m,12s,03m,22s,03m,32s,03m,42s,03m,52s
32m,00m,05s,00m,15s,00m,25s,00m,35s,00m,45s,00m,55s,01m,04s,01m,14s,01m,24s,01m,34s,01m,44s,01m,54s,02m,04s,02m,13s,02m,23s,02m,33s,02m,43s,02m,53s,03m,03s,03m,13s,03m,22s,03m,32s,03m,42s,03m,52s
33m,00m,05s,00m,15s,00m,25s,00m,35s,00m,45s,00m,55s,01m,05s,01m,14s,01m,24s,01m,34s,01m,44s,01m,54s,02m,04s,02m,14s,02m,23s,02m,33s,02m,43s,02m,53s,03m,03s,03m,13s,03m,23s,03m,32s,03m,42s,03m,52s
34m,00m,06s,00m,15s,00m,25s,00m,35s,00m,45s,00m,55s,01m,05s,01m,15s,01m,24s,01m,34s,01m,44s,01m,54s,02m,04s,02m,14s,02m,24s,02m,33s,02m,43s,02m,53s,03m,03s,03m,13s,03m,23s,03m,33s,03m,42s,03m,52s
35m,00m,06s,00m,16s,00m,25s,00m,35s,00m,45s,00m,55s,01m,05s,01m,15s,01m,25s,01m,34s,01m,44s,01m,54s,02m,04s,02m,14s,02m,24s,02m,34s,02m,43s,02m,53s,03m,03s,03m,13s,03m,23s,03m,33s,03m,43s,03m,52s
36m,00m,06s,00m,16s,00m,26s,00m,35s,00m,45s,00m,55s,01m,05s,01m,15s,01m,25s,01m,35s,01m,44s,01m,54s,02m,04s,02m,14s,02m,24s,02m,34s,02m,44s,02m,53s,03m,03s,03m,13s,03m,23s,03m,33s,03m,43s,03m,53s
37m,00m,06s,00m,16s,00m,26s,00m,36s,00m,46s,00m,55s,01m,05s,01m,15s,01m,25s,01m,35s,01m,45s,01m,54s,02m,04s,02m,14s,02m,24s,02m,34s,02m,44s,02m,54s,03m,03s,03m,13s,03m,23s,03m,33s,03m,43s,03m,53s
38m,00m,06s,00m,16s,00m,26s,00m,36s,00m,46s,00m,56s,01m,05s,01m,15s,01m,25s,01m,35s,01m,45s,01m,55s,02m,05s,02m,14s,02m,24s,02m,34s,02m,44s,02m,54s,03m,04s,03m,14s,03m,23s,03m,33s,03m,43s,03m,53s
39m,00m,06s,00m,16s,00m,26s,00m,36s,00m,46s,00m,56s,01m,06s,01m,15s,01m,25s,01m,35s,01m,45s,01m,55s,02m,05s,02m,15s,02m,24s,02m,34s,02m,44s,02m,54s,03m,04s,03m,14s,03m,24s,03m,33s,03m,43s,03m,53s
40m,00m,07s,00m,16s,00m,26s,00m,36s,00m,46s,00m,56s,01m,06s,01m,16s,01m,25s,01m,35s,01m,45s,01m,55s,02m,05s,02m,15s,02m,25s,02m,34s,02m,44s,02m,54s,03m,04s,03m,14s,03m,24s,03m,34s,03m,43s,03m,53s
41m,00m,07s,00m,17s,00m,26s,00m,36s,00m,46s,00m,56s,01m,06s,01m,16s,01m,26s,01m,35s,01m,45s,01m,55s,02m,05s,02m,15s,02m,25s,02m,35s,02m,44s,02m,54s,03m,04s,03m,14s,03m,24s,03m,34s,03m,44s,03m,53s
42m,00m,07s,00m,17s,00m,27s,00m,36s,00m,46s,00m,56s,01m,06s,01m,16s,01m,26s,01m,36s,01m,45s,01m,55s,02m,05s,02m,15s,02m,25s,02m,35s,02m,45s,02m,54s,03m,04s,03m,14s,03m,24s,03m,34s,03m,44s,03m,54s
43m,00m,07s,00m,17s,00m,27s,00m,37s,00m,46s,00m,56s,01m,06s,01m,16s,01m,26s,01m,36s,01m,46s,01m,55s,02m,05s,02m,15s,02m,25s,02m,35s,02m,45s,02m,55s,03m,04s,03m,14s,03m,24s,03m,34s,03m,44s,03m,54s
44m,00m,07s,00m,17s,00m,27s,00m,37s,00m,47s,00m,57s,01m,06s,01m,16s,01m,26s,01m,36s,01m,46s,01m,56s,02m,06s,02m,15s,02m,25s,02m,35s,02m,45s,02m,55s,03m,05s,03m,15s,03m,24s,03m,34s,03m,44s,03m,54s
45m,00m,07s,00m,17s,00m,27s,00m,37s,00m,47s,00m,57s,01m,07s,01m,16s,01m,26s,01m,36s,01m,46s,01m,56s,02m,06s,02m,16s,02m,25s,02m,35s,02m,45s,02m,55s,03m,05s,03m,15s,03m,25s,03m,34s,03m,44s,03m,54s
46m,00m,08s,00m,17s,00m,27s,00m,37s,00m,47s,00m,57s,01m,07s,01m,17s,01m,26s,01m,36s,01m,46s,01m,56s,02m,06s,02m,16s,02m,26s,02m,35s,02m,45s,02m,55s,03m,05s,03m,15s,03m,25s,03m,35s,03m,44s,03m,54s
47m,00m,08s,00m,18s,00m,27s,00m,37s,00m,47s,00m,57s,01m,07s,01m,17s,01m,27s,01m,36s,01m,46s,01m,56s,02m,06s,02m,16s,02m,26s,02m,36s,02m,45s,02m,55s,03m,05s,03m,15s,03m,25s,03m,35s,03m,45s,03m,54s
48m,00m,08s,00m,18s,00m,28s,00m,37s,00m,47s,00m,57s,01m,07s,01m,17s,01m,27s,01m,37s,01m,46s,01m,56s,02m,06s,02m,16s,02m,26s,02m,36s,02m,46s,02m,55s,03m,05s,03m,15s,03m,25s,03m,35s,03m,45s,03m,55s
49m,00m,08s,00m,18s,00m,28s,00m,38s,00m,47s,00m,57s,01m,07s,01m,17s,01m,27s,01m,37s,01m,47s,01m,56s,02m,06s,02m,16s,02m,26s,02m,36s,02m,46s,02m,56s,03m,05s,03m,15s,03m,25s,03m,35s,03m,45s,03m,55s
50m,00m,08s,00m,18s,00m,28s,00m,38s,00m,48s,00m,57s,01m,07s,01m,17s,01m,27s,01m,37s,01m,47s,01m,57s,02m,06s,02m,16s,02m,26s,02m,36s,02m,46s,02m,56s,03m,06s,03m,15s,03m,25s,03m,35s,03m,45s,03m,55s
51m,00m,08s,00m,18s,00m,28s,00m,38s,00m,48s,00m,58s,01m,08s,01m,17s,01m,27s,01m,37s,01m,47s,01m,57s,02m,07s,02m,17s,02m,26s,02m,36s,02m,46s,02m,56s,03m,06s,03m,16s,03m,26s,03m,35s,03m,45s,03m,55s
52m,00m,09s,00m,18s,00m,28s,00m,38s,00m,48s,00m,58s,01m,08s,01m,18s,01m,27s,01m,37s,01m,47s,01m,57s,02m,07s,02m,17s,02m,27s,02m,36s,02m,46s,02m,56s,03m,06s,03m,16s,03m,26s,03m,36s,03m,45s,03m,55s
53m,00m,09s,00m,19s,00m,28s,00m,38s,00m,48s,00m,58s,01m,08s,01m,18s,01m,28s,01m,37s,01m,47s,01m,57s,02m,07s,02m,17s,02m,27s,02m,37s,02m,46s,02m,56s,03m,06s,03m,16s,03m,26s,03m,36s,03m,46s,03m,55s
54m,00m,09s,00m,19s,00m,29s,00m,38s,00m,48s,00m,58s,01m,08s,01m,18s,01m,28s,01m,38s,01m,47s,01m,57s,02m,07s,02m,17s,02m,27s,02m,37s,02m,47s,02m,56s,03m,06s,03m,16s,03m,26s,03m,36s,03m,46s,03m,56s
55m,00m,09s,00m,19s,00m,29s,00m,39s,00m,48s,00m,58s,01m,08s,01m,18s,01m,28s,01m,38s,01m,48s,01m,57s,02m,07s,02m,17s,02m,27s,02m,37s,02m,47s,02m,57s,03m,06s,03m,16s,03m,26s,03m,36s,03m,46s,03m,56s
56m,00m,09s,00m,19s,00m,29s,00m,39s,00m,49s,00m,58s,01m,08s,01m,18s,01m,28s,01m,38s,01m,48s,01m,58s,02m,07s,02m,17s,02m,27s,02m,37s,02m,47s,02m,57s,03m,07s,03m,16s,03m,26s,03m,36s,03m,46s,03m,56s
57m,00m,09s,00m,19s,00m,29s,00m,39s,00m,49s,00m,59s,01m,09s,01m,18s,01m,28s,01m,38s,01m,48s,01m,58s,02m,08s,02m,17s,02m,27s,02m,37s,02m,47s,02m,57s,03m,07s,03m,17s,03m,26s,03m,36s,03m,46s,03m,56s
58m,00m,10s,00m,19s,00m,29s,00m,39s,00m,49s,00m,59s,01m,09s,01m,19s,01m,28s,01m,38s,01m,48s,01m,58s,02m,08s,02m,18s,02m,28s,02m,37s,02m,47s,02m,57s,03m,07s,03m,17s,03m,27s,03m,37s,03m,46s,03m,56s
59m,00m,10s,00m,20s,00m,29s,00m,39s,00m,49s,00m,59s,01m,09s,01m,19s,01m,29s,01m,38s,01m,48s,01m,58s,02m,08s,02m,18s,02m,28s,02m,38s,02m,47s,02m,57s,03m,07s,03m,17s,03m,27s,03m,37s,03m,47s,03m,56s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,